Title,URL,Description,Keywords,Contact,Licence,Status,Authors,Contributors,DOI,Version,Published,Modified,Competency,Fields,Audiences,Types,Other Types,Objectives,Prerequisites,Syllabus
AI for coding (beginner),https://ubc-library-rc.github.io/AI_for_coding_2025/,This beginner workshop provides bite-sized overviews of how ChatGPT and other LLMs can help with various aspects of coding in R. These principles can be transferred to other coding languages.,"AI, LLMs, ChatGPT, R, coding",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Siobhan Schenk; Jeremy Buhler; UBC Library Research Commons,,,,2025-01-18,2025-09-23,,Data analysis and visualization,,workshop,,,,
Data manipulation with dplyr,https://ubc-library-rc.github.io/data-manipulation-dplyr/,Data manipulation is a crucial part of data visualization and analysis. This workshop introduces common functions in the dplyr package to manipulate rows and columns.,"R, dplyr, data manipulation, tidyverse, data wrangling",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Siobhan Schenk; Jeremy Buhler; UBC Library Research Commons,,,,2023-03-11,2026-02-26,,Data analysis and visualization,,workshop,,,,
Data visualization with ggplot2,https://ubc-library-rc.github.io/ggplot2_intro_workshop/,"This workshop introduces participants to the skills needed to make effective, eye-catching, and reproducible visualizations using the ggplot2 package in R.","R, ggplot2, data visualization, plotting, tidyverse",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,"jaredconnoy (GitHub handle, real name not found); Jeremy Buhler; UBC Library Research Commons",,,,2023-01-23,2026-03-11,,Data analysis and visualization,,workshop,,,,
Designing dashboards with Tableau,https://ubc-library-rc.github.io/tableau-dashboard/,"A hands-on workshop teaching participants to combine multiple data sources, apply calculations, and assemble a dashboard using Tableau Desktop Public Edition.","Tableau, dashboards, data visualization, business intelligence, data analysis",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Jeremy Buhler; UBC Library Research Commons,,,,2020-12-22,2025-09-23,,Data analysis and visualization,,workshop,,,Basic familiarity with Tableau is helpful.,
Intro to data visualization with Tableau,https://ubc-library-rc.github.io/tableau-intro/,"This workshop introduces the basics of visualizing data in Tableau software, using a Statistics Canada dataset on labour and employment in Canada.","Tableau, data visualization, Statistics Canada, dashboards, data analysis",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Jeremy Buhler; UBC Library Research Commons,,,,2020-12-22,2025-09-23,,Data analysis and visualization,,workshop,,,,
Intro to R and RStudio,https://ubc-library-rc.github.io/IntroR/,"An orientation suitable for people with little or no R experience, covering R terminology and the RStudio interface to help decide whether R is the right tool for your data analysis needs.","R, RStudio, statistics, data analysis, programming",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Albina Gibadullina; Jeremy Buhler; UBC Library Research Commons,,,,2023-02-26,2026-06-04,,Data analysis and visualization,,workshop,,,,
Introduction to APIs,https://ubc-library-rc.github.io/intro-api/,"Orients complete beginners to APIs: articulating what an API is, formulating an API query, and retrieving information through an API call.","API, web services, data retrieval, JSON, programming",eka.grguric@ubc.ca; jeremy.buhler@ubc.ca; research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eka Grguric; Jeremy Buhler; UBC Library Research Commons,,,,2020-01-24,2025-07-17,,Data analysis and visualization,,workshop,,,,
Introduction to Python for Data Analysis (Beginner) (archived),https://ubc-library-rc.github.io/intro-data-analysis-python/,"An orientation for beginners with little to no experience in Python for data analysis, covering basic concepts, commands, and loading/exploring data using cloud-based platforms.","Python, data analysis, programming, Jupyter, beginner",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,archived,Ashley Yue Mao; Jeremy Buhler; UBC Library Research Commons,,,,2023-07-31,2025-02-14,,Data analysis and visualization,,workshop,,,,
Introduction to tidyverse,https://ubc-library-rc.github.io/intro_to_tidyverse/,"Presents some of the major packages in the tidyverse collection in R, covering common data manipulation tasks and frequently encountered errors.","R, tidyverse, data manipulation, dplyr, data wrangling",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Siobhan Schenk; Jeremy Buhler; UBC Library Research Commons,,,,2023-11-22,2026-02-11,,Data analysis and visualization,,workshop,,,Basic familiarity with R is helpful.,
Introduction to Web Scraping,https://ubc-library-rc.github.io/intro-web-scraping/,Introduces web scraping concepts and workflow using the Data Miner browser plugin for Chrome/Edge.,"web scraping, Data Miner, browser plugin, data collection, HTML",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,Eka Grguric; Jeremy Buhler; UBC Library Research Commons,,,,2020-01-27,2025-06-18,,Data analysis and visualization,,workshop,,,,
